locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
STM0060	STM0060	1	AE006468	70000	70869	+		putative citrate lyase beta chain, acyl lyase subunit	0.5563	29
STM0061	STM0061	1	AE006468	70880	72400	+		putative citrate lyase alpha chain	0.5523	51
STM0062	STM0062	1	AE006468	72400	72951	+		putative cytoplasmic protein	0.5598	17
STM0063	STM0063	1	AE006468	72929	73837	+		putative modifier of citrate lyase protein	0.5479	30
STM0064	STM0064	1	AE006468	74017	74838	+		dihydrodipicolinate reductase	0.5657	32
STM0065	STM0065	1	AE006468	75088	75435	+		putative viral protein	0.4368	23
STM0066	STM0066	1	AE006468	75880	77028	+		carbamoyl-phosphate synthetase, glutamine-hydrolysing small subunit	0.5535	38
STM0067	STM0067	1	AE006468	77047	80274	+		carbamoyl-phosphate synthase, large subunit	0.5911	90
STM0068	STM0068	1	AE006468	80548	80943	+		transcriptional regulator of cai and fix operon	0.4646	15
STM0069	STM0069	1	AE006468	81020	81616	-		stimulates carnitine racemase activity of CaiD and CaiB activity	0.5595	23
STM0070	STM0070	1	AE006468	81725	82510	-		carnitine racemase	0.5687	28
STM0071	STM0071	1	AE006468	82564	84117	-		crotonobetaine/carnitine-CoA ligase	0.5077	76
STM0072	STM0072	1	AE006468	84180	85397	-		l-carnitine dehydratase	0.5320	50
STM0073	STM0073	1	AE006468	85509	86651	-		putative acyl-CoA dehydrogenase, carnitine metabolism	0.5258	46
STM0074	STM0074	1	AE006468	86686	88203	-		putative BCCT family betaine/carnitine/choline transport protein	0.5408	65
STM0075	STM0075	1	AE006468	88684	89454	+		putative flavoprotein reductase, carnitine metabolism	0.5201	24
STM0076	STM0076	1	AE006468	89470	90411	+		putative electron transfer flavoprotein, carnitine metabolism	0.5892	22
STM0077	STM0077	1	AE006468	90461	91747	+		related to carnitine metabolism protein	0.5548	37
STM0078	STM0078	1	AE006468	91744	92031	+		putative ferredoxin	0.5451	12
STM0079	STM0079	1	AE006468	92178	93518	+		putative MFS family transport protein	0.5414	64
STM0080	STM0080	1	AE006468	93607	93837	+		putative outer membrane lipoprotein	0.4848	13
STM0081	STM0081	1	AE006468	94131	94547	+		putative secreted protein	0.4700	26
STM0082	STM0082	1	AE006468	94771	95061	-		putative secreted protein	0.4639	14
STM0083	STM0083	1	AE006468	95271	95465	+		putative inner membrane protein	0.3897	17
STM0084	STM0084	1	AE006468	95959	97848	+		putative sulfatase	0.4619	125
STM0085	STM0085	1	AE006468	98255	98785	+		putative NAD(P)H oxidoreductase	0.5367	25
STM0086	STM0086	1	AE006468	98778	100640	+		CPA2 family K+ efflux antiporter, glutathione-regulated	0.5819	54
STM0087	STM0087	1	AE006468	100839	101318	+		dihydrofolate reductase type I	0.5375	19
STM0088	STM0088	1	AE006468	101424	102272	-		diadenosine tetraphosphatase	0.5630	40
STM0089	STM0089	1	AE006468	102283	102660	-		putative cytoplasmic protein	0.5503	16
STM0090	STM0090	1	AE006468	102663	103484	-		S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase; kasugamycin resistance	0.5243	36
STM0091	STM0091	1	AE006468	103481	104470	-		NAD-dependent dehydrogenase/carboxylase	0.5869	31
STM0092	STM0092	1	AE006468	104470	105756	-		peptidyl-prolyl cis-trans isomerase	0.5439	46
STM0093	STM0093	1	AE006468	105810	108170	-		organic solvent tolerance protein	0.5277	134
STM0094	STM0094	1	AE006468	108424	109236	+		DnaJ like chaperone protein	0.5412	28
STM0095	STM0095	1	AE006468	109331	109990	-		23S rRNA pseudouridylate 746 synthase	0.5712	30
STM0096	STM0096	1	AE006468	110002	112908	-		RNA polymerase associated protein	0.5700	91
STM0097	STM0097	1	AE006468	113082	115433	-		DNA polymerase II	0.5651	90
STM0098	STM0098	1	AE006468	115477	116097	-		putative secreted protein	0.4944	43
STM0099	STM0099	1	AE006468	116299	116601	+		putative inner membrane protein	0.3762	27
STM0100	STM0100	1	AE006468	116816	117235	+		putative cytoplasmic protein	0.4262	26
STM0101	STM0101	1	AE006468	117241	117936	-		L-ribulose-5-phosphate 4-epimerase	0.5503	32
STM0102	STM0102	1	AE006468	118077	119579	-		L-arabinose isomerase	0.5582	58
STM0103	STM0103	1	AE006468	119590	121299	-		L-ribulokinase	0.6088	45
STM0104	STM0104	1	AE006468	121640	122485	+		transcriptional regulator (AraC/XylS family) for ara operon	0.5390	40
STM0105	STM0105	1	AE006468	122604	123371	+		putative DedA family membrane protein	0.5742	26
STM0106	STM0106	1	AE006468	123410	124117	-		putative ABC-transport protein	0.5805	27
STM0107	STM0107	1	AE006468	124101	125711	-		putative binding-protein-dependent transport system inner membrane component	0.5965	48
STM0108	STM0108	1	AE006468	125687	126670	-		thiamine-binding periplasmic protein	0.5498	35
STM0109	STM0109	1	AE006468	126848	128506	-		putative periplasmic binding protein of transport system	0.5666	63
STM0110	STM0110	1	AE006468	129057	129662	-		3-isopropylmalate isomerase (dehydratase), subunit with LeuC	0.5297	22
STM0111	STM0111	1	AE006468	129673	131073	-		3-isopropylmalate isomerase (dehydratase), subunit with LeuD	0.5896	43
STM0112	STM0112	1	AE006468	131076	132167	-		3-isopropylmalate dehydrogenase	0.5595	47
STM0113	STM0113	1	AE006468	132167	133738	-		2-isopropylmalate synthase	0.5483	58
STM0114	STM0114	1	AE006468	133826	133912	-		leu operon leader peptide	0.4713	7
STM0115	STM0115	1	AE006468	134569	135513	+		putative LysR family transcriptional regulator	0.4804	52
STM0116	STM0116	1	AE006468	135898	137559	+		valine sensitive acetolactate synthase III, large subunit	0.5469	71
STM0117	STM0117	1	AE006468	137562	138053	+		acetolactate synthase III, small subunit	0.5386	20
STM0118	STM0118	1	AE006468	138337	139341	+		transcriptional repressor of fru operon and others	0.5642	34
STM0119	STM0119	1	AE006468	139947	140405	+		putative cytoplasmic protein	0.5185	19
STM0120	STM0120	1	AE006468	140407	141348	+		putative S-adenosyl methionine adenyltransferase	0.5626	32
STM0121	STM0121	1	AE006468	141345	141710	+		cell division protein	0.5191	8
STM0122	STM0122	1	AE006468	141726	143492	+		division specific transpeptidase	0.5484	89
STM0123	STM0123	1	AE006468	143479	144966	+		UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase	0.5874	44
STM0124	STM0124	1	AE006468	144963	146321	+		D-alanine:D-alanine-adding enzyme	0.5636	58
STM0125	STM0125	1	AE006468	146315	147397	+		phospho-N-acetylmuramoyl-pentapeptide transferase	0.5392	49
STM0126	STM0126	1	AE006468	147400	148716	+		UDP-N-acetylmuramoylalanine-D-glutamate ligase	0.5816	46
STM0127	STM0127	1	AE006468	148716	149960	+		essential cell division gene	0.5454	52
STM0128	STM0128	1	AE006468	149957	151024	+		UDP-N-acetylglucosamine:N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	0.6086	43
STM0129	STM0129	1	AE006468	151143	152618	+		L-alanine adding enzyme	0.5644	48
STM0130	STM0130	1	AE006468	152611	153531	+		D-alanine-D-alanine ligase B	0.5418	38
STM0131	STM0131	1	AE006468	153533	154363	+		cell division protein	0.5259	34
STM0132	STM0132	1	AE006468	154360	155622	+		ATP-binding cell division protein	0.5360	55
STM0133	STM0133	1	AE006468	155683	156834	+		tubulin-like GTP-binding protein and GTPase	0.5677	39
STM0134	STM0134	1	AE006468	156935	157852	+		UDP-3-O-acyl N-acetylglucosamine deacetylase	0.5044	39
STM0135	STM0135	1	AE006468	158199	158627	+		putative inner membrane protein	0.5804	19
STM0136	STM0136	1	AE006468	158689	161394	+		preprotein translocase; secretion protein of IISP family	0.5388	115
STM0137	STM0137	1	AE006468	161546	161941	+		7,8-dihydro-8-oxoguanine-triphosphatase	0.5227	15
STM0138	STM0138	1	AE006468	162263	162454	-		putative cytoplasmic protein	0.5469	7
STM0139	STM0139	1	AE006468	162464	163207	-		putative cytoplasmic protein	0.5296	27
STM0140	STM0140	1	AE006468	163207	163827	-		putative nucleotide kinase	0.5491	30
STM0141	STM0141	1	AE006468	164053	165096	+		GMP reductase	0.5316	41
STM0142	STM0142	1	AE006468	165127	166329	-		putative component in type IV pilin biogenesis	0.5445	51
STM0143	STM0143	1	AE006468	166319	167704	-		putative integral membrane protein	0.5548	51
STM0144	STM0144	1	AE006468	167714	168151	-		prelipin peptidase dependent protein	0.5365	19
STM0145	STM0145	1	AE006468	168373	169266	-		quinolinate phosphoribosyltransferase	0.5794	25
STM0146	STM0146	1	AE006468	169354	169917	+		N-acetyl-anhydromuramyl-L-alanine amidase	0.5514	24
STM0147	STM0147	1	AE006468	169914	170768	+		putative transmembrane protein	0.5567	37
STM0148	STM0148	1	AE006468	170860	171810	-		putative cytoplasmic protein	0.5342	47
STM0149	STM0149	1	AE006468	171810	173216	-		putative permease of the Na+:galactoside symporter family	0.5096	76
STM0150	STM0150	1	AE006468	173380	174753	-		APC family aromatic amino acid transporter	0.5560	57
STM0151	STM0151	1	AE006468	175316	176080	+		transcriptional repressor for pyruvate dehydrogenase complex (GntR family)	0.5647	21
STM0152	STM0152	1	AE006468	176240	178903	+		pyruvate dehydrogenase, decarboxylase component	0.5432	104
STM0153	STM0153	1	AE006468	178918	180807	+		pyruvate dehydrogenase	0.5556	52
STM0154	STM0154	1	AE006468	181007	182431	+		lipoamide dehydrogenase (NADH)	0.5418	50
STM0155	STM0155	1	AE006468	182720	183004	+		putative outer membrane protein	0.5579	9
STM0156	STM0156	1	AE006468	183042	183833	-		putative periplasmic protein	0.5669	37
STM0157	STM0157	1	AE006468	183846	185468	-		putative outer membrane protein	0.5736	62
STM0158	STM0158	1	AE006468	185857	188454	+		aconitate hydratase 2	0.5793	74
STM0159	STM0159	1	AE006468	188515	189357	-		putative restriction endonuclease	0.3108	79
STM0160	STM0160	1	AE006468	189603	189965	+		putative cytoplasmic protein	0.5179	15
STM0161	STM0161	1	AE006468	190200	191153	+		2-keto-3-deoxygluconate permease	0.5755	28
STM0162	STM0162	1	AE006468	191150	192421	+		putative inner membrane protein	0.5778	42
STM0163	STM0163	1	AE006468	192411	193394	+		pyridoxine phosphate biosynthetic protein	0.5569	50
STM0164	STM0164	1	AE006468	193404	194171	+		putative LysR family transcriptional regulator	0.5508	26
STM0165	STM0165	1	AE006468	194201	194995	-		S-adenosylmethionine decarboxylase, proenzyme	0.4969	42
STM0166	STM0166	1	AE006468	195016	195876	-		spermidine synthase	0.5343	38
STM0167	STM0167	1	AE006468	195983	196330	-		putative periplasmic protein	0.4713	19
STM0168	STM0168	1	AE006468	196532	198142	+		putative multicopper oxidase	0.5642	56
STM0169	STM0169	1	AE006468	198220	200610	-		glucose dehydrogenase	0.5772	94
STM0170	STM0170	1	AE006468	200816	201352	+		hypoxanthine phosphoribosyltransferase	0.5028	27
STM0171	STM0171	1	AE006468	201410	202072	-		putative carbonic anhydrase	0.5008	31
STM0172	STM0172	1	AE006468	202181	203107	+		putative ABC-type multidrug transport system, ATPase component	0.4973	48
STM0173	STM0173	1	AE006468	203104	203874	+		putative transport protein	0.5409	33
STM0174	STM0174	1	AE006468	203991	205070	-		putative fimbriae	0.5269	56
STM0175	STM0175	1	AE006468	205079	207625	-		putative fimbrial usher	0.5536	124
STM0176	STM0176	1	AE006468	207652	208335	-		putative fimbrial chaparone	0.5307	31
STM0177	STM0177	1	AE006468	208383	208922	-		putative fimbrial subunit	0.5241	23
STM0178	STM0178	1	AE006468	209293	209733	+		putative PTS enzyme	0.5125	14
STM0179	STM0179	1	AE006468	209795	211024	+		putative xylanase/chitin deacetylase	0.5033	70
STM0180	STM0180	1	AE006468	211031	211411	-		aspartate 1-decarboxylase	0.5354	10
STM0181	STM0181	1	AE006468	211506	212360	-		pantothenate synthetase	0.5450	26
STM0182	STM0182	1	AE006468	212486	213277	-		3-methyl-2-oxobutanoate hydroxymethyltransferase	0.5732	26
STM0183	STM0183	1	AE006468	213398	213877	-		7, 8-dihydro-6-hydroxymethylpterin-pyrophosphokinase, PPPK	0.5750	18
STM0184	STM0184	1	AE006468	213874	215292	-		poly(A) polymerase I	0.5617	50
STM0185	STM0185	1	AE006468	215433	216374	-		putative glutamyl t-RNA synthetase	0.5786	33
STM0186	STM0186	1	AE006468	216398	216853	-		dnaK suppressor protein	0.5373	14
STM0187	STM0187	1	AE006468	217030	217734	-		regulator for maltose metabolism	0.5035	42
STM0188	STM0188	1	AE006468	217751	218281	-		2'-5' RNA ligase	0.6290	19
STM0189	STM0189	1	AE006468	218309	220783	+		ATP-dependent helicase	0.5931	83
STM0190	STM0190	1	AE006468	220924	223446	+		transpeptidase of penicillin-binding protein 1b	0.5676	98
STM0191	STM0191	1	AE006468	223739	225928	+		outer membrane protein receptor / transporter for ferrichrome, colicin M, and phages T1, T5, and phi80	0.5105	113
STM0192	STM0192	1	AE006468	225977	226774	+		hydroxymate-dependent iron transport	0.5890	27
STM0193	STM0193	1	AE006468	226774	227664	+		hydroxamate-dependent iron uptake	0.5948	30
STM0194	STM0194	1	AE006468	227661	229718	+		hydroxamate-dependent iron uptake	0.6108	65
STM0195	STM0195	1	AE006468	230658	231218	+		putative fimbrial subunit	0.5205	26
STM0196	STM0196	1	AE006468	231304	233961	+		putative fimbrial outer membrane usher	0.5497	127
STM0197	STM0197	1	AE006468	233979	234731	+		putative periplasmic fimbrial chaperone	0.5418	30
STM0198	STM0198	1	AE006468	234750	235262	+		putative minor fimbrial subunit	0.5595	22
STM0199	STM0199	1	AE006468	235259	235735	+		putative minor fimbrial subunit	0.4843	26
STM0200	STM0200	1	AE006468	235735	236265	+		putative minor fimbrial subunit	0.5461	23
STM0201	STM0201	1	AE006468	236265	237104	+		putative outer membrane protein	0.4976	44
STM0202	STM0202	1	AE006468	237212	238492	-		glutamate-1-semialdehyde aminotransferase	0.5933	44
STM0203	STM0203	1	AE006468	238662	240083	+		putative ClC family chlorine transport protein	0.5717	59
STM0204	STM0204	1	AE006468	240120	240509	+		putative HesB-like domain protein	0.4897	20
STM0205	STM0205	1	AE006468	240610	241233	-		putative inner membrane protein	0.5657	30
STM0206	STM0206	1	AE006468	241270	242070	-		putative cobalamin periplasmic binding protein	0.5568	33
STM0207	STM0207	1	AE006468	242063	242761	-		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	0.5694	24
STM0208	STM0208	1	AE006468	242846	244363	+		deoxyguanosine triphosphate triphosphohydrolase	0.4908	91
STM0209	STM0209	1	AE006468	244493	245920	+		periplasmic serine protease Do, heat shock protein	0.5490	54
STM0210	STM0210	1	AE006468	246073	247230	+		putative inner membrane protein	0.5570	50
STM0211	STM0211	1	AE006468	247319	247705	-		putative cytoplasmic protein	0.4677	24
STM0212	STM0212	1	AE006468	247952	249253	+		putative inner membrane protein	0.5123	69
STM0213	STM0213	1	AE006468	249290	250114	-		2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	0.5394	39
STM0214	STM0214	1	AE006468	250144	252816	-		uridylyltransferase	0.5612	92
STM0215	STM0215	1	AE006468	253053	253847	-		methionine aminopeptidase	0.5245	33
STM0216	STM0216	1	AE006468	254298	255023	+		30S ribosomal subunit protein S2	0.5096	25
STM0217	STM0217	1	AE006468	255281	256132	+		protein chain elongation factor EF-Ts	0.5258	19
STM0218	STM0218	1	AE006468	256277	257002	+		uridylate kinase	0.5386	27
STM0219	STM0219	1	AE006468	257149	257706	+		ribosome releasing factor	0.5108	21
STM0220	STM0220	1	AE006468	257847	259043	+		1-deoxy-D-xylulose 5-phosphate reductoisomerase	0.5589	39
STM0221	STM0221	1	AE006468	259356	260114	+		undecaprenyl pyrophosphate synthetase (di-trans, poly-cis-decaprenylcistransferase)	0.5125	37
STM0222	STM0222	1	AE006468	260127	260984	+		CDP-diglyceride synthase	0.5280	41
STM0223	STM0223	1	AE006468	260996	262348	+		putative membrane-associated Zn-dependent protease	0.5307	58
STM0224	STM0224	1	AE006468	262380	264794	+		putative outer membrane antigen	0.5246	124
STM0225	STM0225	1	AE006468	264917	265402	+		histone-like protein, located in outer membrane	0.4733	19
STM0226	STM0226	1	AE006468	265406	266431	+		UDP-3-O-(3-hydroxymyristoyl)-glucosamine n-acyltransferase	0.5195	49
STM0227	STM0227	1	AE006468	266537	266992	+		(3R)-hydroxymyristol acyl carrier protein dehydratase	0.5241	15
STM0228	STM0228	1	AE006468	266996	267784	+		UDP-N-acetylglucosamine acetyltransferase	0.5349	31
STM0229	STM0229	1	AE006468	267784	268932	+		tetraacyldisaccharide-1-P	0.5570	38
STM0230	STM0230	1	AE006468	268929	269525	+		RNAse HII	0.5628	16
STM0231	STM0231	1	AE006468	269549	273031	+		DNA polymerase III, alpha subunit	0.5590	128
STM0232	STM0232	1	AE006468	273044	274003	+		acetylCoA carboxylase, carboxytransferase component, alpha subunit	0.5479	32
STM0233	STM0233	1	AE006468	274184	275947	+		putative endochitinase	0.5561	86
STM0234	STM0234	1	AE006468	276023	278164	+		lysine decarboxylase 2, constitutive	0.5196	102
STM0235	STM0235	1	AE006468	278220	278609	+		putative lactoylglutathione lyase	0.5231	15
STM0236	STM0236	1	AE006468	278672	279964	+		cell cycle protein	0.5878	42
STM0237	STM0237	1	AE006468	280048	280308	-		modulator of Rho-dependent transcription termination	0.4330	16
STM0238	STM0238	1	AE006468	280295	280513	-		putative cytoplasmic protein	0.5023	12
STM0239	STM0239	1	AE006468	280693	281238	+		putative cytoplasmic protein	0.5568	19
STM0240	STM0240	1	AE006468	281235	281657	+		putative-tRNA hydrolase domain protein	0.5508	16
STM0242	STM0242	1	AE006468	282468	284186	-		proline tRNA synthetase	0.5474	72
STM0243	STM0243	1	AE006468	284297	285004	-		putative regulator	0.5579	28
STM0244	STM0244	1	AE006468	285001	285405	-		regulator in colanic acid synthesis	0.5407	15
STM0245	STM0245	1	AE006468	285524	286339	-		putative outer membrane lipoprotein	0.4877	31
STM0246	STM0246	1	AE006468	286378	287031	-		putative ABC superfamily (membrane) transport protein	0.5336	33
STM0247	STM0247	1	AE006468	287024	288055	-		putative ABC superfamily (atp_bind) transport system	0.5242	39
STM0248	STM0248	1	AE006468	288245	288811	+		putative dehydratase	0.5132	26
STM0249	STM0249	2	AE006468	289190	290733	+		16S ribosomal RNA	0.5466	66
STM0250	STM0250	5	AE006468	290801	290874	+		tRNA-Ile	0.5811	3
STM0251	STM0251	5	AE006468	290987	291059	+		tRNA-Asx	0.6301	1
STM0252	STM0252	2	AE006468	291245	294337	+		23S ribosomal RNA	0.5360	156
STM0253	STM0253	2	AE006468	294520	294641	+		5S ribosomal RNA	0.6311	4
STM0254	STM0254	5	AE006468	294839	294912	+		tRNA-Val	0.5676	4
STM0255	STM0255	1	AE006468	295070	295873	+		2,5-diketo-D-gluconate reductase B	0.5112	34
STM0256	STM0256	1	AE006468	295894	296808	-		putative LysR family transcriptional regulator	0.5169	39
STM0257	STM0257	1	AE006468	296913	298088	+		putative drug efflux protein (perhaps for chloramphenicol)	0.5578	53
STM0258	STM0258	1	AE006468	298241	299020	+		putative cytoplasmic protein	0.5385	38
STM0259	STM0259	1	AE006468	299098	299868	+		putative methyltransferase in menaquinone/biotin biosynthesis	0.5253	41
STM0260	STM0260	1	AE006468	299924	301291	-		transcriptional regulator for nitrite reductase (cytochrome c552)	0.5212	70
STM0261	STM0261	1	AE006468	301363	302118	-		hydroxyacylglutathione hydrolase	0.4418	42
STM0262	STM0262	1	AE006468	302153	302875	+		putative SAM-dependent methyltransferase	0.5076	44
STM0263	STM0263	1	AE006468	302872	303339	-		RNase HI	0.5021	21
STM0264	STM0264	1	AE006468	303403	304134	+		DNA polymerase III, epsilon subunit	0.5109	31
STM0265	STM0265	5	AE006468	304278	304351	+		tRNA-Sec	0.5811	3
STM0266	STM0266	1	AE006468	304666	305721	-		putative cytoplasmic protein	0.6127	28
STM0267	STM0267	1	AE006468	305732	306727	-		putative cytoplasmic protein	0.6004	26
STM0268	STM0268	1	AE006468	306724	308607	-		putative cytoplasmic protein	0.5977	56
STM0269	STM0269	1	AE006468	308623	309117	-		putative cytoplasmic protein	0.5616	24
STM0270	STM0270	1	AE006468	309114	309938	-		putative cytoplasmic protein	0.5964	26
STM0271	STM0271	1	AE006468	309925	310827	-		putative cytoplasmic protein	0.5205	39
STM0272	STM0272	1	AE006468	311195	313834	+		putative ATPase with chaperone activity	0.5955	72
STM0273	STM0273	1	AE006468	313934	314476	+		putative cytoplasmic protein	0.5488	17
STM0274	STM0274	1	AE006468	314500	316008	+		putative cytoplasmic protein	0.5467	54
STM0274A	STM0274A	1	AE006468	316071	316181	+		invasol SirA	0.4234	8
STM0275	STM0275	1	AE006468	316308	316640	+		putative cytoplasmic protein	0.4384	25
STM0276	STM0276	1	AE006468	316894	317379	+		putative cytoplasmic protein	0.5370	16
STM0277	STM0277	1	AE006468	317684	318169	+		putative cytoplasmic protein	0.4115	37
STM0278	STM0278	1	AE006468	318154	318537	+		putative periplasmic protein	0.3750	30
STM0279	STM0279	1	AE006468	318680	319165	+		putative cytoplasmic protein	0.4979	18
STM0280	STM0280	1	AE006468	319232	319768	+		putative outer membrane lipoprotein	0.5289	23
STM0281	STM0281	1	AE006468	319772	321115	+		putative cytoplasmic protein	0.5826	39
STM0282	STM0282	1	AE006468	321112	322416	+		putative outer membrane protein, OmpA family	0.5939	47
STM0283	STM0283	1	AE006468	322421	323194	+		putative inner membrane protein	0.4173	54
STM0284	STM0284	1	AE006468	323397	323828	+		putative shiga-like toxin A subunit	0.3403	43
STM0285	STM0285	1	AE006468	323862	327731	+		putative inner membrane protein	0.6212	104
STM0286	STM0286	1	AE006468	327731	328519	+		putative cytoplasmic protein	0.6553	18
STM0287	STM0287	1	AE006468	328516	328932	+		putative periplasmic protein	0.4772	25
STM0288	STM0288	1	AE006468	328956	329477	+		putative cytoplasmic protein	0.4732	28
STM0289	STM0289	1	AE006468	329874	332063	+		putative cytoplasmic protein	0.5685	77
STM0290	STM0290	1	AE006468	332087	332533	+		putative cytoplasmic protein	0.5145	20
STM0291	STM0291	1	AE006468	332552	336646	+		putative RHS-family protein	0.6046	144
STM0292	STM0292	1	AE006468	337096	337836	+		putative RHS-family protein	0.5250	35
STM0293	STM0293	1	AE006468	337830	338276	+		putative cytoplasmic protein	0.2975	47
STM0294	STM0294	1	AE006468	338839	339276	+		putative cytoplasmic protein	0.3196	37
STM0295	STM0295	1	AE006468	340045	340353	+		putative cytoplasmic protein	0.3204	27
STM0296	STM0296	1	AE006468	340455	340703	-		putative cytoplasmic protein	0.5141	14
