Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names (primary),Gene Names (ORF),Gene Names (synonym)
P0A2R8,reviewed,CORA_SALTY,Magnesium transport protein CorA,corA STM3952 STMD1.38,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),316,corA,STMD1.38,
P0CE12,reviewed,SSPH2_SALTY,"E3 ubiquitin-protein ligase SspH2, EC 2.3.2.27 (RING-type E3 ubiquitin transferase SspH2) (Salmonella secreted protein H2) (Secreted effector protein sspH2)",sspH2 STM2241,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),788,sspH2,,
P0CW86,reviewed,SODC1_SALTY,"Superoxide dismutase [Cu-Zn] 1, EC 1.15.1.1 (sodCI)",sodC1 sodC STM1044,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),177,sodC1,,sodC
P0DM80,reviewed,PHOQ_SALTY,"Virulence sensor histidine kinase PhoQ, EC 2.7.13.3, EC 3.1.3.- (Sensor histidine protein kinase/phosphatase PhoQ)",phoQ phoZ STM1230,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),487,phoQ,,phoZ
P10370,reviewed,HISX_SALTY,"Histidinol dehydrogenase, HDH, EC 1.1.1.23",hisD STM2072,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),434,hisD,,
P10503,reviewed,PUTA_SALTY,"Bifunctional protein PutA [Includes: Proline dehydrogenase, EC 1.5.5.2 (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase, P5C dehydrogenase, EC 1.2.1.88 (L-glutamate gamma-semialdehyde dehydrogenase) ]",putA STM1124,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),1320,putA,,
P11954,reviewed,TDCB_SALTY,"L-threonine dehydratase catabolic TdcB, EC 4.3.1.19 (L-serine dehydratase, EC 4.3.1.17) (Threonine deaminase)",tdcB STM3244,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),329,tdcB,,
P19264,reviewed,EUTB_SALTY,"Ethanolamine ammonia-lyase large subunit, EAL large subunit, EC 4.3.1.7 (Ethanolamine ammonia-lyase alpha subunit) (Ethanolamine ammonia-lyase heavy chain)",eutB STM2458,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),453,eutB,,
P19265,reviewed,EUTC_SALTY,"Ethanolamine ammonia-lyase small subunit, EAL small subunit, EC 4.3.1.7 (Ethanolamine ammonia-lyase beta subunit)",eutC STM2457,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),298,eutC,,
P22036,reviewed,ATMB_SALTY,"Magnesium-transporting ATPase, P-type 1, EC 7.2.2.14 (Mg(2+) transport ATPase, P-type 1)",mgtB STM3763,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),908,mgtB,,
P24518,reviewed,NADR_SALTY,"Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase, NMN adenylyltransferase, NMN-AT, NMNAT, EC 2.7.7.1 (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase, RNK, EC 2.7.1.22 (Nicotinamide riboside kinase, NRK, NmR-K) ]",nadR nadI pnuA STM4580,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),410,nadR,,nadI pnuA
P25924,reviewed,CYSG_SALTY,"Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase, Urogen III methylase, EC 2.1.1.107 (SUMT) (Uroporphyrinogen III methylase, UROM); Precorrin-2 dehydrogenase, EC 1.3.1.76; Sirohydrochlorin ferrochelatase, EC 4.99.1.4 ]",cysG STM3477,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),457,cysG,,
P26311,reviewed,PEPT_SALTY,"Peptidase T, EC 3.4.11.4 (Aminotripeptidase, Tripeptidase) (Tripeptide aminopeptidase)",pepT STM1227,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),409,pepT,,
P26353,reviewed,HMP_SALTY,"Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase, NO oxygenase, NOD, EC 1.14.12.17)",hmp frsB hmpA STM2556,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),396,hmp,,frsB hmpA
P26391,reviewed,RMLB_SALTY,"dTDP-glucose 4,6-dehydratase, EC 4.2.1.46",rfbB STM2097,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),361,rfbB,,
P26392,reviewed,RMLD_SALTY,"dTDP-4-dehydrorhamnose reductase, EC 1.1.1.133 (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)",rfbD rmlD STM2096,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),299,rfbD,,rmlD
P26393,reviewed,RMLA_SALTY,"Glucose-1-phosphate thymidylyltransferase, EC 2.7.7.24 (dTDP-glucose pyrophosphorylase, Ep) (dTDP-glucose synthase)",rmlA rfbA STM2095,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),292,rmlA,,rfbA
P26394,reviewed,RMLC_SALTY,"dTDP-4-dehydrorhamnose 3,5-epimerase, EC 5.1.3.13 (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)",rfbC rmlC STM2094,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),183,rfbC,,rmlC
P26465,reviewed,FLII_SALTY,"Flagellum-specific ATP synthase, EC 7.1.2.2",fliI fla AIII flaC STM1972,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),456,fliI,,fla AIII flaC
P26466,reviewed,LAMB_SALTY,Maltoporin (Maltose-inducible porin),lamB malL STM4231,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),452,lamB,,malL
P29768,reviewed,NANH_SALTY,"Sialidase, EC 3.2.1.18 (N-acylneuraminate glycohydrolase) (Neuraminidase, NANase) (STNA)",nanH STM0928,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),382,nanH,,
P29946,reviewed,CBIA_SALTY,"Cobyrinate a,c-diamide synthase, EC 6.3.5.11 (Cobyrinic acid a,c-diamide synthetase) [Cleaved into: Cobyrinate a,c-diamide synthase, N-terminally processed ]",cbiA STM2035,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),459,cbiA,,
P30878,reviewed,MELB_SALTY,Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II),melB STM4299,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),476,melB,,
P37412,reviewed,LEU3_SALTY,"3-isopropylmalate dehydrogenase, EC 1.1.1.85 (3-IPM-DH) (Beta-IPM dehydrogenase, IMDH)",leuB STM0112,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),363,leuB,,
P37426,reviewed,RIR1_SALTY,"Ribonucleoside-diphosphate reductase 1 subunit alpha, EC 1.17.4.1 (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)",nrdA STM2277,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),761,nrdA,,
P37449,reviewed,PDUB_SALTY,"Bacterial microcompartment shell protein PduB (Bacterial microcompartment protein homotrimer, BMC-T) (Propanediol utilization protein PduB)",pduB STM2039,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),270,pduB,,
P37450,reviewed,PDUC_SALTY,"Propanediol dehydratase large subunit, EC 4.2.1.28 (Diol dehydratase large subunit, DDH large subunit) (Propanediol utilization protein PduC)",pduC STM2040,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),554,pduC,,
P40193,reviewed,PTSJ_SALTY,Vitamin B6 salvage pathway transcriptional repressor PtsJ (HTH-type transcriptional regulatory protein PtsJ),ptsJ STM2436,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),430,ptsJ,,
P40732,reviewed,ARGD_SALTY,"Acetylornithine/succinyldiaminopimelate aminotransferase, ACOAT, DapATase, Succinyldiaminopimelate transferase, EC 2.6.1.11, EC 2.6.1.17",argD dapC dtu STM3468,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),405,argD,,dapC dtu
P40811,reviewed,ILVI_SALTY,"Acetolactate synthase isozyme 3 large subunit, EC 2.2.1.6 (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)",ilvI STM0116,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),574,ilvI,,
P40817,reviewed,DPAL_SALTY,"Diaminopropionate ammonia-lyase, DAPAL, EC 4.3.1.15 (2,3-diaminopropionate ammonia-lyase) (Alpha,beta-diaminopropionate ammonia-lyase) (Diaminopropionatase)",dpaL STM1002,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),404,dpaL,,
P41780,reviewed,APBE_SALTY,"FAD:protein FMN transferase, EC 2.7.1.180 (Flavin transferase)",apbE STM2266,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),350,apbE,,
P41791,reviewed,EUTM_SALTY,"Bacterial microcompartment shell protein EutM (Bacterial microcompartment protein homohexamer, BMC-H) (Ethanolamine utilization protein EutM)",eutM cchA STM2465,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),96,eutM,,cchA
P41793,reviewed,EUTE_SALTY,"Acetaldehyde dehydrogenase (acetylating) EutE, EC 1.2.1.10 (Ethanolamine utilization protein EutE)",eutE STM2463,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),467,eutE,,
P51067,reviewed,ACEK_SALTY,"Isocitrate dehydrogenase kinase/phosphatase, IDH kinase/phosphatase, IDHK/P, EC 2.7.11.5, EC 3.1.3.-",aceK STM4185,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),583,aceK,,
P55880,reviewed,YAJL_SALTY,"Protein/nucleic acid deglycase YajL, EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124 (Chaperone protein YajL) (Maillard deglycase)",yajL STM0433,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),196,yajL,,
P58683,reviewed,APHA_SALTY,"Class B acid phosphatase, CBAP, EC 3.1.3.2 (Non-specific acid phosphatase II)",aphA STM4249,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),237,aphA,,
P58687,reviewed,AROD_SALTY,"3-dehydroquinate dehydratase, 3-dehydroquinase, DHQD, EC 4.2.1.10 (Type I DHQase) (Type I dehydroquinase, DHQ1)",aroD STM1358,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),252,aroD,,
P63411,reviewed,ACKA_SALTY,"Acetate kinase AckA, EC 2.7.2.1 (Acetokinase)",ackA STM2337,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),400,ackA,,
P65774,reviewed,NADK_SALTY,"NAD kinase, EC 2.7.1.23 (ATP-dependent NAD kinase)",nadK STM2683,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),292,nadK,,
P65921,reviewed,PYRG_SALTY,"CTP synthase, EC 6.3.4.2 (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase, CTP synthetase, CTPS) (UTP--ammonia ligase)",pyrG STM2953,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),545,pyrG,,
P74857,reviewed,SCTN2_SALTY,"SPI-2 type 3 secretion system ATPase, T3SS-2 ATPase, EC 7.4.2.8",sctN2 ssaN STM1415,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),433,sctN2,,ssaN
P74873,reviewed,SPTP_SALTY,"Secreted effector protein SptP [Includes: GTPase-activating protein, GAP; Tyrosine-protein phosphatase, EC 3.1.3.48 ]",sptP STM2878,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),543,sptP,,
P74881,reviewed,PUR4_SALTY,"Phosphoribosylformylglycinamidine synthase, FGAM synthase, FGAMS, EC 6.3.5.3 (Formylglycinamide ribonucleotide amidotransferase, FGAR amidotransferase, FGAR-AT)",purL STM2565,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),1295,purL,,
P77983,reviewed,KPYK1_SALTY,"Pyruvate kinase I, EC 2.7.1.40 (PK-1)",pykF STM1378,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),470,pykF,,
P96060,reviewed,PHNW_SALTY,"2-aminoethylphosphonate--pyruvate transaminase, EC 2.6.1.37 (2-aminoethylphosphonate aminotransferase) (AEP transaminase, AEPT)",phnW STM0431,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),367,phnW,,
P97084,reviewed,COBD_SALTY,"Threonine-phosphate decarboxylase, EC 4.1.1.81 (L-threonine-O-3-phosphate decarboxylase)",cobD STM0644,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),364,cobD,,
Q05592,reviewed,CBIK_SALTY,"Sirohydrochlorin cobaltochelatase, EC 4.99.1.3",cbiK STM2025,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),264,cbiK,,
Q05599,reviewed,COBU_SALTY,"Bifunctional adenosylcobalamin biosynthesis protein CobU (Adenosylcobinamide kinase, EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase, EC 2.7.7.62)",cobU STM2018,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),181,cobU,,
Q05603,reviewed,COBT_SALTY,"Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, NN:DBI PRT, EC 2.4.2.21 (N(1)-alpha-phosphoribosyltransferase)",cobT STM2016,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),356,cobT,,
Q08698,reviewed,RIR3_SALTY,"Ribonucleoside-diphosphate reductase 2 subunit alpha, EC 1.17.4.1 (R1E protein) (Ribonucleotide reductase 2)",nrdE STM2807,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),714,nrdE,,
Q56061,reviewed,SIFA_SALTY,Secreted effector protein SifA,sifA STM1224,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),336,sifA,,
Q56062,reviewed,PRPB_SALTY,"2-methylisocitrate lyase, 2-MIC, MICL, EC 4.1.3.30 ((2R,3S)-2-methylisocitrate lyase)",prpB STM0368,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),295,prpB,,
Q56063,reviewed,PRPC_SALTY,"2-methylcitrate synthase, 2-MCS, mcs, EC 2.3.3.5 (Citrate synthase, EC 2.3.3.16)",prpC STM0369,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),389,prpC,,
Q7CP78,reviewed,RIDA_SALTY,"2-iminobutanoate/2-iminopropanoate deaminase, EC 3.5.99.10 (Enamine/imine deaminase)",ridA yjgF STM4458,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),128,ridA,,yjgF
Q7CPR9,reviewed,HLDE_SALTY,"Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase, EC 2.7.1.167 (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase, EC 2.7.7.70 (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase) ]",hldE rfaE waaE STM3200,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),477,hldE,,rfaE waaE
Q8ZJV7,reviewed,DEOD_SALTY,"Purine nucleoside phosphorylase DeoD-type, PNP, EC 2.4.2.1",deoD STM4570,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),239,deoD,,
Q8ZKA7,unreviewed,Q8ZKA7_SALTY,"Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase, EC 4.2.1.136 (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase, EC 5.1.99.6 ]",yjeF nnrD nnrE STM4356,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),515,yjeF,,nnrD nnrE
Q8ZKE6,reviewed,PHNO_SALTY,"Aminoalkylphosphonate N-acetyltransferase, EC 2.3.1.280",phnO STM4287,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),154,phnO,,
Q8ZKF6,reviewed,ACSA_SALTY,"Acetyl-coenzyme A synthetase, AcCoA synthetase, Acs, EC 6.2.1.1 (Acetate--CoA ligase) (Acyl-activating enzyme)",acs STM4275,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),652,acs,,
Q8ZKR2,reviewed,AIRSK_SALTY,"Aminoimidazole riboside kinase, AIRs kinase, EC 2.7.1.223",STM4066,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),319,,,
Q8ZL58,reviewed,TAGAD_SALTY,"L-talarate/galactarate dehydratase, TalrD/GalrD, EC 4.2.1.156, EC 4.2.1.42 (StTGD)",STM3697,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),398,,,
Q8ZMX2,reviewed,LYSAC_SALTY,"Peptidyl-lysine N-acetyltransferase Pat, EC 2.3.1.- (Protein lysine acetyltransferase)",pat yfiQ STM2651,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),886,pat,,yfiQ
Q8ZN75,reviewed,DAPE_SALTY,"Succinyl-diaminopimelate desuccinylase, SDAP desuccinylase, EC 3.5.1.18 (Aspartyl peptidase) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)",dapE STM2483,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),375,dapE,,
Q8ZND6,reviewed,PTA_SALTY,"Phosphate acetyltransferase, EC 2.3.1.222, EC 2.3.1.8 (Phosphotransacetylase)",pta STM2338,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),714,pta,,
Q8ZNF3,reviewed,ARNB_SALTY,"UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase, EC 2.6.1.87 (Polymyxin resistance protein PmrH) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase, UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)",arnB pbgP pbgP1 pmrH STM2297,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),385,arnB,,pbgP pbgP1 pmrH
Q8ZNF5,reviewed,NUDI_SALTY,"Nucleoside triphosphatase NudI, EC 3.6.1.9 (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase, EC 3.6.1.12) (dTTP diphosphatase, EC 3.6.1.-) (dUTP diphosphatase, EC 3.6.1.23)",nudI STM2295,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),141,nudI,,
